iter	Passed	Remaining
616	54248	33674
617	54347	33593
618	54428	33501
619	54509	33409
620	54593	33318
621	54675	33227
622	54763	33139
623	54855	33054
624	54939	32963
625	55022	32872
626	55121	32791
627	55208	32703
628	55296	32615
629	55389	32530
630	55478	32443
631	55586	32366
632	55673	32278
633	55757	32188
634	55842	32098
635	55928	32009
636	56017	31921
637	56095	31828
638	56181	31739
639	56277	31655
640	56394	31584
641	56491	31501
642	56579	31413
643	56677	31331
644	56777	31249
645	56874	31166
646	56963	31078
647	57062	30996
648	57171	30920
649	57267	30836
650	57358	30749
651	57468	30673
652	57564	30589
653	57656	30503
654	57791	30439
655	57877	30350
656	57966	30262
657	58059	30177
658	58185	30108
659	58286	30026
660	58389	29945
661	58482	29859
662	58572	29772
663	58663	29684
664	58757	29599
665	58862	29519
666	58962	29437
667	59056	29351
668	59152	29266
669	59257	29186
670	59343	29096
671	59439	29012
672	59537	28928
673	59625	28839
674	59729	28758
675	59821	28671
676	59913	28585
677	60010	28500
678	60111	28418
679	60208	28333
680	60292	28242
681	60386	28156
682	60480	28070
683	60571	27983
684	60667	27898
685	60758	27810
686	60855	27726
687	60939	27635
688	61039	27551
689	61138	27467
690	61225	27378
691	61320	27293
692	61421	27209
693	61530	27130
694	61622	27043
695	61713	26955
696	61805	26868
697	61903	26783
698	61998	26697
699	62088	26609
700	62184	26523
701	62277	26437
702	62374	26351
703	62474	26267
704	62565	26179
705	62657	26092
706	62751	26005
707	62836	25915
708	62923	25826
709	63014	25738
710	63095	25646
711	63181	25556
712	63265	25465
713	63344	25373
714	63428	25282
715	63509	25191
716	63596	25101
717	63683	25012
718	63773	24924
719	63863	24835
720	63952	24747
721	64037	24657
722	64129	24569
723	64217	24480
724	64307	24392
725	64391	24302
726	64485	24215
727	64589	24132
728	64672	24041
729	64770	23956
730	64863	23869
731	64945	23777
732	65029	23687
733	65109	23595
734	65194	23505
735	65281	23416
736	65364	23325
737	65449	23235
738	65536	23146
739	65628	23058
740	65719	22970
741	65808	22882
742	65898	22793
743	65990	22706
744	66082	22618
745	66170	22529
746	66270	22444
747	66366	22358
748	66462	22272
749	66548	22182
750	66633	22093
751	66723	22004
752	66835	21923
753	66922	21834
754	67010	21745
755	67098	21656
756	67181	21565
757	67292	21483
758	67387	21397
759	67479	21309
760	67565	21219
761	67649	21129
762	67734	21039
763	67823	20950
764	67913	20862
765	68001	20773
766	68098	20686
767	68192	20599
768	68283	20511
769	68372	20422
770	68450	20331
771	68536	20241
772	68626	20152
773	68712	20063
774	68809	19976
775	68898	19888
776	68992	19800
777	69095	19716
778	69182	19626
779	69274	19538
780	69357	19448
781	69437	19357
782	69519	19266
783	69606	19177
784	69689	19086
785	69791	19001
786	69891	18916
787	69987	18829
788	70074	18739
789	70169	18652
790	70259	18564
791	70361	18478
792	70448	18389
793	70534	18299
794	70649	18217
795	70741	18129
796	70828	18040
797	70913	17950
798	71000	17861
799	71091	17772
800	71187	17685
801	71290	17600
802	71398	17516
803	71485	17426
804	71576	17338
